"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.254","11.603","1907494195.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.504","11.603","255236938.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.053","11.603","1244304866.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.426","11.603","395801044.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.351","11.603","218568234.00","2025","07","18","2025-07-18"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.452","1.330","360057207.00","2025","07","22","2025-07-22"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.878","1.330","1297567800.00","2025","07","22","2025-07-22"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.319","2.619","455988366.00","2025","07","22","2025-07-22"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON      NM","0.474","2.619","311217208.00","2025","07","22","2025-07-22"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.826","2.619","1145289019.00","2025","07","22","2025-07-22"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.081","1.081","531531039.00","2025","07","22","2025-07-22"
"Telecomunicação","VIVT3","TELEF BRASIL","ON","1.145","1.933","764884256.00","2025","07","22","2025-07-22"
"Telecomunicação","TIMS3","TIM","ON      NM","0.788","1.933","806346600.00","2025","07","22","2025-07-22"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.670","3.670","683495706.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.141","11.711","323738747.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.940","11.711","1858636840.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.962","11.711","1671982390.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.347","11.711","187732538.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.412","11.711","1808652474.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.553","11.711","268875696.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.716","11.711","326175300.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.271","11.711","1907494195.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.517","11.711","255236938.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.063","11.711","1244304866.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.432","11.711","395801044.00","2025","07","22","2025-07-22"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.357","11.711","218568234.00","2025","07","22","2025-07-22"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON  ED  NM","2.589","2.589","1482105837.00","2025","07","26","2025-07-26"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.360","2.632","734631701.00","2025","07","26","2025-07-26"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.272","2.632","666378439.00","2025","07","26","2025-07-26"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.597","1.859","991920937.00","2025","07","26","2025-07-26"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.985","1.859","1216914397.00","2025","07","26","2025-07-26"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.277","1.859","409543219.00","2025","07","26","2025-07-26"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.844","1.329","832617717.00","2025","07","26","2025-07-26"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.268","1.329","237618211.00","2025","07","26","2025-07-26"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.107","1.329","433214256.00","2025","07","26","2025-07-26"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.110","1.329","128130966.00","2025","07","26","2025-07-26"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.873","2.873","4394835131.00","2025","07","26","2025-07-26"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.633","0.711","1345897506.00","2025","07","26","2025-07-26"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.078","0.711","461260303.00","2025","07","26","2025-07-26"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.376","0.376","845713747.00","2025","07","26","2025-07-26"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.170","0.170","194261422.00","2025","07","26","2025-07-26"
"Consumo Cíclico / Comércio","AZZA3","AZZAS 2154","ON      NM","0.241","1.263","136643320.00","2025","07","26","2025-07-26"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.836","1.263","1030587204.00","2025","07","26","2025-07-26"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.129","1.263","353448195.00","2025","07","26","2025-07-26"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON      NM","0.057","1.263","295519280.00","2025","07","26","2025-07-26"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.151","0.151","123160591.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.315","0.628","257174951.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.202","0.628","108541907.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.111","0.628","375507695.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.053","0.387","450926127.00","2025","07","26","2025-07-26"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.334","0.387","328547988.00","2025","07","26","2025-07-26"
"Diversos","COGN3","COGNA ON","ON      NM","0.242","2.172","1872454628.00","2025","07","26","2025-07-26"
"Diversos","RENT3","LOCALIZA","ON      NM","1.679","2.172","956264719.00","2025","07","26","2025-07-26"
"Diversos","VAMO3","VAMOS","ON      NM","0.094","2.172","485166826.00","2025","07","26","2025-07-26"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.157","2.172","260249057.00","2025","07","26","2025-07-26"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON  ED  NM","0.492","1.078","476976044.00","2025","07","26","2025-07-26"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.201","1.078","198474750.00","2025","07","26","2025-07-26"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.385","1.078","314311970.00","2025","07","26","2025-07-26"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.967","2.967","5856697902.00","2025","07","26","2025-07-26"
